,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,label
1 liver,210.9760316252978,539.1944961632279,-15.324842328755958,6.573812806191086,1.7367573803543692,0.5812766138811819,0.9601910456911911,1.747149144732719,0.8009145889893999,0.6237006631690664,0.593787988661127,0.9967596308018611,0.9612381988961776,-0.11089717746982071,0.6278005499231397,0.49654517235111145,14.483322351582936,0.06920345146990775,4.580120802131631,0.8063438830492348,0.12721076440926693,28.966644703165873,3.1819049272501556,2.0776425466363633,298825.8065895351,0.21230335720484253,2.5318167663262736,210.72527129101942,3.035222811346036,640.4310852872445,0.015015631875605619,0.005080412710715525,3.8908093232226175,744804.7360638329,0.5263016583100654,0.6770989520085522,0.8284453013325367,0.7512637633206931,158.13512351298525,0.003855475050845291,1
1 other organ,1259.1782495039743,2629665.5034746295,3965.8480198617262,1465.0144189979064,8.622086453258667,0.9882978629125684,1.4386588979038104,2.215316383610519,6.482551939822116,0.6223332486275499,0.5912934405206066,0.9991366871605234,0.986255926123049,-0.47462921276404973,0.9944415720021997,0.4238404096580749,29.917875848836065,0.01704639329395506,7.33582927337106,0.9902097199060772,0.06338575460094974,59.835751697672094,5.727005071883701,368.4091263627907,593426.8633297298,0.040318094124798615,358.563910026596,1407.1138784589639,4.102653706530963,4010.5526099454164,0.027247862622311974,0.004604678485818844,6.42894354232972,7727710.4065047335,0.5222588792257811,0.6369884382246984,1.5997886329265891,0.7495690225838387,1113.3598666544237,0.0031305396800761884,0
10 liver,612.7135639522576,200.9726243609143,-8.978648580827535,4.889730768255432,2.275374371947022,0.36394786946388497,1.1171050453408629,1.903688100832665,1.0121234496499758,0.5884842534511292,0.5497251243303649,0.9979275288883849,0.9680846532396962,-0.051306657129915036,0.43884428028726064,0.4856755295104189,24.739843687704766,0.06116927787307246,4.686595043094912,0.5462976419027458,0.13229421908478647,49.479687375409526,3.08732343288244,1.7912762850506136,314761.3747837475,0.20733112252446548,2.291539251989843,610.4874541581468,2.6039615553883286,1598.103955833133,0.004287319099318164,0.0016659073474397323,3.7271232771855525,876119.9656160724,0.5750894061184155,0.7172742206008962,0.6464383901906549,0.7858055605595529,478.78558998014984,0.0013147329813748634,1
10 other organ,922.6031949895671,195026693.0558992,62095.7885577092,1405.0546311855455,28.703666942088994,0.9599097104565584,1.4314414766109473,2.2281433208988157,26.590280787752103,0.6654562048218704,0.634523154875507,0.9999951510365176,0.9993023864962988,-0.4840434065862672,0.9920090109293387,0.3324382314758668,24.052340692131814,0.06156355848233419,6.548518944315595,0.9907393171034666,0.22420276656489715,48.104681384263614,5.077145301141168,358.4395745319086,772534.826066414,0.05270426980278153,279.9634735651305,1258.0140134539856,35.74718976172573,3605.46900188089,32.87880949170001,0.04601306718442285,6.167849622046185,8310590.330714511,0.5649799093941101,0.5483643142309188,32.38625787545182,0.7792206248744348,1019.1163077232076,0.02277704203001463,0
14 liver,494.67355994154974,304.0527203234068,-9.438648049853933,6.115968216514705,1.3458588893067902,0.6366726555840869,0.7926949744695785,1.5889520715775147,0.7052453476348904,0.6731940112294422,0.6536485176134976,0.9985196251960141,0.9749625329822952,-0.1645116176365079,0.7195928861981918,0.4858452813820575,22.21442833973439,0.08102855069928568,4.370511959347874,0.696584802094657,0.16595651981803833,44.42885667946879,3.2186220473590836,1.8654567764553736,259579.6575752871,0.2114659384604099,2.6199453829480035,489.9899176214868,4.13978252949064,2056.5400308502203,0.008442589306445298,0.0020927964629264073,4.157428985496005,571353.3604136264,0.4613926528106745,0.6081938930946227,1.3761372122219706,0.7017359411295362,341.72727912869203,0.001485427290614788,1
14 other organ,706.6923253261074,117006719.44530669,86797.710229597,1661.2102098931293,21.15929843931775,0.9748228572428628,1.127024198976538,1.8860420759673646,19.827481684503898,0.7629122463127843,0.7415561243849553,0.9999961171547008,0.9994507453582465,-0.5367203415641819,0.9903855864822154,0.22426905604845568,17.224379468580562,0.18258755181925979,5.458083126460517,0.9914288109241124,0.42079889220985084,34.44875893716109,4.372172658450001,420.5923770831119,331569.9198162452,0.03745747154161581,398.50917484970665,1288.735193867652,100.16792025257709,4378.836659252758,95.9695692481739,0.08720172024108494,6.700671747367744,4685563.578340196,0.5270535330244154,0.3857502152819076,93.27463639297399,0.7527268901302141,1012.9382953096815,0.03656451043439891,0
16 liver,563.1690914116089,98.09466353091679,-2.030713852102699,3.7384949491950183,2.0790835615993832,0.28478798159455077,1.07013797853615,1.8540640775889656,0.9236841481976905,0.5969982819230224,0.560586313791127,0.9979850335390191,0.9684437241118745,-0.03763040189141048,0.37213996071226574,0.49170540303574567,23.72244064314647,0.06995213926488777,4.469399535146651,0.4777861927202402,0.14310993291300667,47.444881286292926,2.9233751412814044,1.4543946276986002,280185.0429373492,0.22492522649857735,1.8093068536728458,562.5732240750511,2.6822166377576173,1512.1405670817637,0.004798484887285825,0.0018027146069460294,3.608609845812823,708659.4918151267,0.567319160865982,0.7094571218485979,0.684474849760414,0.7808903821366275,438.98833048712163,0.001411613437798915,1
16 other organ,630.0719108470811,3683602.515938964,38547.674808821284,1467.9134468381842,11.657980186967903,0.9842429935214126,1.2842053877886814,2.015119805654596,9.935472268417564,0.7418254847166161,0.7172706502856087,0.9987768241870826,0.9877116863190639,-0.513703614823829,0.9882214350956338,0.23175069023036152,16.309736919763985,0.18645780307680104,5.479709514585726,0.9888362891105095,0.42666940048430607,32.619473839527956,4.303583023543683,369.892856756288,383486.6543254156,0.04182974977944937,330.0273189277929,1166.209338543482,97.93695037878464,2783.7789493195332,95.04482787595659,0.07122588801896887,6.370345403705377,5265821.876037994,0.5726866595556739,0.41476575528268805,92.06461152087364,0.7837291298120957,967.066761497987,0.029897686760020956,0
18 liver,801.8162409897502,385.74862676807686,-20.865269442446195,5.930478215010596,1.8757311264179959,0.5174307155010123,0.9857186306962333,1.783714525367439,0.8904892800555293,0.6197640888018819,0.5889795498223529,0.9986394791463766,0.9746404170954593,-0.09198125780288424,0.575265245108346,0.4946345613981013,28.29845127651982,0.07056341351814323,4.554381266261207,0.6186152920811614,0.13048732525365286,56.596902553039634,3.1333414418915435,1.951552335357148,345809.54532652104,0.21159136632008474,2.7183942486353727,796.1634122440453,3.0299232592592733,2435.5418752459414,0.0038045421732660375,0.0012772426182681871,3.885517155752689,877327.6039151122,0.5341517992667719,0.6797734346310965,0.8419227472212523,0.7573279186491717,600.5958146526965,0.0009739596184265296,1
18 other organ,725.30632742799,3287521.9924506694,23344.688868140354,1516.347964950033,8.373021092138483,0.9890180345625788,1.133286902130243,1.956900014840489,7.043163936155177,0.742452950861293,0.7181483460170477,0.9990978243877062,0.9888830778153324,-0.5322778154038283,0.9907767746165633,0.24632719926337998,18.66312439534396,0.17142697390399822,5.558539285893135,0.9922579432044137,0.4081863035932629,37.32624879068788,4.407360285485337,381.18024651054264,464525.473902953,0.041359597412147724,278.43707171888207,1263.518530549469,111.34667996203763,3410.4378451507246,108.4387757492041,0.05659234682842288,6.396689436120696,6327419.644887628,0.5611020497406185,0.4204802426936105,105.61069821986085,0.7763035212309455,1018.0951424159866,0.024958871237836414,0
